date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,10.8,9.4,12.5,5.2,0,242,17.3,36.7,1018.3,
2022-01-02,10.6,8.7,12,8.9,0,238,21.2,77.4,1007,
2022-01-03,8.8,8,9.4,0.6,0,255,27.4,60.1,1001.2,
2022-01-04,5.6,1.8,8.4,5.4,0,252,16.9,45.7,992.7,
2022-01-05,3.2,0.8,5.6,6,0,261,21.2,48.2,994.7,
2022-01-06,1.2,-3.1,3.7,0.2,10,264,10.8,29.2,1013.9,
2022-01-07,2.7,1.8,4.2,0.1,0,216,17.3,39.2,1008,
2022-01-08,3,1.9,4.3,0,0,215,18,42.5,1003,
2022-01-09,2,0.7,2.8,7.4,0,159,11.5,41,996,
2022-01-10,2.6,0.7,3.7,0,0,82,8.1,20.4,1020.9,
2022-01-11,3.8,3.1,4.9,0.1,0,193,12.6,30.6,1032.4,
2022-01-12,5.2,3.1,7.6,0,0,260,16.2,49.3,1034.7,
2022-01-13,7.8,7.2,8.6,0,0,272,30.2,57.6,1032.4,
2022-01-14,6.3,0.6,8.8,0.2,0,286,22.7,52.9,1029.6,
2022-01-15,3.4,0,6.5,0,0,252,8.3,22,1027.9,
2022-01-16,4.8,3.1,7.1,0.5,0,250,19.8,55.1,1018,
2022-01-17,5.6,1.7,8.3,0.7,0,300,28.1,82.1,1023.3,
2022-01-18,5.9,4.6,6.8,0,0,285,18,43.6,1033.9,
2022-01-19,4.5,2.6,6.7,0.3,0,249,25.2,61.9,1018.4,
2022-01-20,1.5,-2.7,3.4,0,0,314,25.6,66.2,1017.8,
2022-01-21,1.9,-3.1,6.2,0.1,0,282,15.8,32.8,1025.4,
2022-01-22,5.7,4.5,6.7,1.1,0,297,11.9,27.7,1028,
2022-01-23,6.7,5.7,8.8,0,0,285,16.6,33.8,1032.8,
2022-01-24,5.1,4.4,5.8,0,0,245,13.3,27.7,1033.2,
2022-01-25,5.3,4.4,6.1,0.7,0,265,15.1,28.8,1030.9,
2022-01-26,5,4.2,6.5,1.3,0,259,23,54.7,1024.4,
2022-01-27,6.6,5.2,8.5,0.9,0,270,38.9,78.5,1011.7,
2022-01-28,5,3.1,6.9,2.1,0,292,22.7,64.4,1024.2,
2022-01-29,7.3,4.8,9.6,0.1,0,260,41,100.4,1009.9,
2022-01-30,5.7,3.7,6.8,0.8,0,302,38.9,101.9,1014.4,
2022-01-31,2.5,1.4,3.9,0,0,199,11.2,25.9,1007.6,
2022-02-01,4.9,2,7.9,8,0,275,26.6,68.4,1003.4,
2022-02-02,5.1,2.4,6.9,0.1,0,296,26.3,71.3,1009.7,
2022-02-03,6.1,4,8.1,6.7,0,236,15.5,40.7,1011.4,
2022-02-04,6.1,2.3,8.2,5.1,0,240,20.5,49,1002.8,
2022-02-05,4.8,2.3,6.9,17.1,0,250,24.8,60.5,1008.1,
